FIMP,Declaration Date,Bank,Description,Amount_EUR,Amount,Currency
1081,09/03/2023,BOV,Savings,"3,944.74","3,944.74",EUR
1081,09/03/2023,BOV,Visa Card,"-1,290.88","-1,290.88",EUR
1081,09/03/2023,BOV,Loan,"-138,084.80","-138,084.80",EUR
1082,24/02/2023,APS Bank,Savings (joint and with wife),"7,608.00","7,608.00",EUR
1082,24/02/2023,BOV,Savings (with wife),871.00,871.00,EUR
1082,24/02/2023,BOV,Savings (with wife),300.00,300.00,EUR
1082,24/02/2023,HSBC Malta,Savings,241.00,241.00,EUR
1082,24/02/2023,HSBC Malta,Euro Savings Plan,"9,616.00","9,616.00",EUR
1082,24/02/2023,Mapfre Comprehensive Flexi Plan (wife),exc. Bonus for 2022,"5,885.00","5,885.00",EUR
1082,24/02/2023,Mapfree MSV Life Pension Plan,exc. Bonus for 2022,"7,483.00","7,483.00",EUR
1083,19/04/2023,HSBC,Savings,"7,600.00","7,600.00",EUR
1083,19/04/2023,HSBC,Savings,"46,000.00","46,000.00",EUR
1083,19/04/2023,HSBC,Loan,"-280,000.00","-280,000.00",EUR
1084,14/02/2023,BOV,"Joint, Personal, Young savers etc","112,222.00","112,222.00",EUR
1084,14/02/2023,HSBC,Personal + Retirement Plan,"8,205.00","8,205.00",EUR
1084,14/02/2023,Loan,Private loan,"-80,000.00","-80,000.00",EUR
1085,10/03/2023,BOV,Savings,"8,000.00","8,000.00",EUR
1085,10/03/2023,BOV,Current,"6,000.00","6,000.00",EUR
1086,11/02/2023,HSBC,Current,732.15,732.15,EUR
1086,11/02/2023,HSBC,Savings,301.00,301.00,EUR
1086,11/02/2023,HSBC,Savings,"15,000.82","15,000.82",EUR
1086,11/02/2023,HSBC,Savings,"4,807.80","4,807.80",EUR
1086,11/02/2023,HSBC,Current,55.23,55.23,EUR
1086,11/02/2023,HSBC,Euro Savings Plan,"11,849.43","11,849.43",EUR
1087,24/04/2023,BOV,Deposits,"25,414.26","25,414.26",EUR
1087,24/04/2023,APS,Deposits,"33,623.98","33,623.98",EUR
1088,28/04/2023,BOV,Savings,"72,000.00","72,000.00",EUR
1088,28/04/2023,BOV,Bonds,"50,000.00","50,000.00",EUR
1088,28/04/2023,MSD,Savings,"71,332.35","75,000.00",USD
1088,28/04/2023,Stirling,Savings,"1,407.95","1,200.00",GBP
1089,12/03/2023,APS,Current Account,"2,696.27","2,696.27",EUR
1089,12/03/2023,HSBC,Current Joint Savings Account,"12,181.41","12,181.41",EUR
1089,12/03/2023,BOV,Savings,98.45,98.45,EUR
1089,12/03/2023,BOV,Current,"10,000.00","10,000.00",EUR
1090,20/03/2023,APS,Savings,"97,466.46","97,466.46",EUR
1090,20/03/2023,APS,Savings,"2,299.35","2,299.35",EUR
1090,20/03/2023,BOV,Savings,"7,715.92","7,715.92",EUR
1090,20/03/2023,Revolut,,303.00,303.00,EUR
1090,20/03/2023,APS,Bank Loan,"-143,991.31","-143,991.31",EUR
1090,20/03/2023,APS,Bank Loan,"-78,480.14","-78,480.14",EUR
1091,01/04/2023,APS,Savings,"2,551.92","2,551.92",EUR
1091,01/04/2023,APS,Current,"4,292.42","4,292.42",EUR
1091,01/04/2023,APS,Mortgage,"-85,088.23","-85,088.23",EUR
1091,01/04/2023,BOV,Savings,217.92,217.92,EUR
1091,01/04/2023,HSBC,Karus Account (of daughter),"2,273.30","2,273.30",EUR
1091,01/04/2023,HSBC,Savings - closed,86.34,86.34,EUR
1091,01/04/2023,HSBC UK,Savings,63.43,54.06,GBP
1091,01/04/2023,Revolut,/,384.57,384.57,EUR
1092,08/02/2023,HSBC & Lombard Banks,Deposits,"95,000.00","95,000.00",EUR
1092,08/02/2023,Lombard Bank,Loan,"-233,000.00","-233,000.00",EUR
1093,18/04/2023,HSBC Bank Malta plc Jinkludu flus depozitati f'isem il-konjugi u f'isem it-tfa,"Depoziti f'Savings Accounts, f'Current Accounts, u Fixed Term Accounts","9,790.96","9,790.96",EUR
1093,18/04/2023,HSBC Bank Malta plc Jinkludu flus depozitati f'isem il-konjugi u f'isem it-tfa,Depoziti f'Savings Accounts,"21,810.40","21,810.40",EUR
1093,18/04/2023,Bank of Valletta plc Jinkludu flus depozitati f'isem il-konjugi u f'isem it-tfal,Depoziti f'Savings Accounts,"78,783.71","78,783.71",EUR
1093,18/04/2023,Calamatta Cuschieri Investment Account,EUR Consolidated Account,"8,278.95","8,278.95",EUR
1093,18/04/2023,Revolut - Jinkludu flus depozitati,Depoziti f'Current Accounts,56.98,56.98,EUR
1094,25/04/2023,APS a/c Romilda,Savings,"1,598.95","1,598.95",EUR
1094,25/04/2023,APS a/c Faith,Savings,"1,426.49","1,426.49",EUR
1094,25/04/2023,APS a/c Kaydon,Savings,"1,285.00","1,285.00",EUR
1094,25/04/2023,BOV joined,E-Account,"14,961.91","14,961.91",EUR
1094,25/04/2023,BOV joined,Current,33.71,33.71,EUR
1094,25/04/2023,BOV joined,Savings,603.10,603.10,EUR
1094,25/04/2023,BOV joined,Savings,630.72,630.72,EUR
1095,20/04/2023,"BOV, HSBC, BNF",Flus depositati fil-banek f'ismi u/jew il-konjugi,"143,969.00","143,969.00",EUR
1096,27/04/2023,BOV,,"49,362.00","49,362.00",EUR
1096,27/04/2023,Savings Plan MSV Life,,"30,229.00","30,229.00",EUR
1096,27/04/2023,HSBC,,"1,798.00","1,798.00",EUR
1096,27/04/2023,Pensions Plan,,"6,000.00","6,000.00",EUR
1096,27/04/2023,Savings Plan - Joint MSV Life,,"14,683.00","14,683.00",EUR
1096,27/04/2023,HSBC Savings Plan - Joint,,"27,171.00","27,171.00",EUR
